,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
3989,013647.OF,汇添富经典价值成长一年持有,汇添富基金,招商银行,混合型,20211116,,,20211103,,5.8889,1.0,0.15,,1.0,0.001,,中证800指数收益率*60%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20211222,20221116,O
3990,012900.OF,招商创业板指数增强A,招商基金,中国银河,股票型,20211116,,,20211011,,0.1003,1.2,0.1,,1.0,0.0001,,创业板指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20211124,20211124,O
3991,013390.OF,华夏成长先锋一年持有C,华夏基金,中国建设银行,混合型,20211116,,,20211101,,4.6687,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20211129,20221116,O
3992,012524.OF,中融高质量成长C,中融基金,中国农业银行,混合型,20211116,,,20211101,,0.1955,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20220215,20220215,O
3993,012066.OF,嘉实民安添复一年持有C,嘉实基金,中国民生银行,混合型,20211116,,,20210929,,0.7987,0.8,0.2,,1.0,0.0001,,中债总全价指数收益率*90%+中证800股票指数收益率*5%+恒生指数收益率*5%(人民币计价),L,混合型,契约型开放式,,20220321,20221116,O
3994,013809.OF,易方达稳悦120天滚动持有短债C,易方达基金,中国农业银行,债券型,20211116,,,20211101,,0.0244,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*92%+一年期定期存款基准利率(税后)*8%,L,债券型,契约型开放式,,20220217,20220316,O
3995,159896.SZ,物联网龙头ETF,南方基金,中国工商银行,股票型,20211115,,20211124,20210909,,3.3706,0.5,0.1,,1.0,0.1,,中证物联网主题指数收益率,L,被动指数型,契约型开放式,,20211124,20211124,E
3996,013968.OF,广发恒享一年持有C,广发基金,华夏银行,混合型,20211115,,,20211111,,39.3635,0.6,0.15,,1.0,0.0001,,中证全债指数收益率*85%+沪深300指数收益率*10%+人民币计价的恒生指数收益率*5%,L,混合型,契约型开放式,,20220117,20221115,O
3997,970093.OF,兴证资管金麒麟均衡优选一年持有A,兴证资管,招商银行,混合型,20211115,,,,,,0.6,0.25,,1.0,,,沪深300指数收益率*75%+上证国债指数收益率*25%,L,混合型,契约型开放式,,20211208,20221208,O
3998,013967.OF,广发恒享一年持有A,广发基金,华夏银行,混合型,20211115,,,20211111,,67.8636,0.6,0.15,,1.0,0.0001,,中证全债指数收益率*85%+沪深300指数收益率*10%+人民币计价的恒生指数收益率*5%,L,混合型,契约型开放式,,20220117,20221115,O
3999,012761.OF,华泰柏瑞上证红利ETF联接A,华泰柏瑞基金,招商银行,股票型,20211115,,,20211025,,0.4976,0.5,0.1,,1.0,0.0001,,上证红利指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211123,20211123,O
4000,970094.OF,兴证资管金麒麟均衡优选一年持有B,兴证资管,招商银行,混合型,20211115,,,20211115,,,0.6,0.25,,1.0,,,沪深300指数收益率*75%+上证国债指数收益率*25%,L,混合型,契约型开放式,,,20211115,O
4001,970095.OF,兴证资管金麒麟均衡优选一年持有C,兴证资管,招商银行,混合型,20211115,,,,,,0.6,0.25,,1.0,,,沪深300指数收益率*75%+上证国债指数收益率*25%,L,混合型,契约型开放式,,20211208,20221208,O
4002,012305.OF,浦银安盛鑫锐C,浦银安盛基金,交通银行,混合型,20211115,,,20211011,,2.0017,0.6,0.15,,1.0,,,中证全债指数收益率*80%+中证500指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20211206,20211216,O
4003,012304.OF,浦银安盛鑫锐A,浦银安盛基金,交通银行,混合型,20211115,,,20211011,,0.0,0.6,0.15,,1.0,,,中证全债指数收益率*80%+中证500指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20211206,20211216,O
4004,012762.OF,华泰柏瑞上证红利ETF联接C,华泰柏瑞基金,招商银行,股票型,20211115,,,20211025,,2.1984,0.5,0.1,,1.0,0.0001,,上证红利指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211123,20211123,O
4005,013883.OF,交银启明C,交银施罗德基金,中国建设银行,混合型,20211112,,,,,,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,L,混合型,契约型开放式,,20211112,20211113,O
4006,013457.OF,华夏鼎业三个月定开A,华夏基金,兴业银行,债券型,20211112,,,20211025,,26.3025,0.3,0.1,,1.0,0.0001,,中债综合指数收益率,L,债券型,契约型开放式,,20220214,20220214,O
4007,014106.OF,融通成长30C,融通基金,中国工商银行,混合型,20211112,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,L,灵活配置型,契约型开放式,,20211112,20211115,O
4008,013525.OF,富国悦享回报12个月持有C,富国基金,中国建设银行,混合型,20211112,,,20211028,,0.4923,0.9,0.2,,1.0,0.0001,,中债综合财富指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20220303,20221114,O
4009,013786.OF,兴证全球积极配置三年封闭运作C,兴证全球基金,浦发银行,混合型,20211112,,,20211108,,2.0705,1.1,0.15,,1.0,0.0001,,中证偏股型基金指数收益率*85%+中债综合(全价)指数收益率*15%,L,混合型,契约型开放式,,,,O
4010,013524.OF,富国悦享回报12个月持有A,富国基金,中国建设银行,混合型,20211112,,,20211028,,6.7459,0.9,0.2,,1.0,0.0001,,中债综合财富指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20220303,20221114,O
4011,013885.OF,交银阿尔法C,交银施罗德基金,中国建设银行,混合型,20211112,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*75%+中证综合债券指数收益率*25%,L,混合型,契约型开放式,,20211112,20211113,O
4012,501215.SH,积极配置FOF,兴证全球基金,浦发银行,混合型,20211112,,20211119,20211108,,40.2249,1.1,0.15,,1.0,0.0001,,中证偏股型基金指数收益率*85%+中债综合(全价)指数收益率*15%,L,混合型,契约型开放式,,,,E
4013,014109.OF,融通内需驱动C,融通基金,中国工商银行,混合型,20211112,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*80%+中债综合全价(总值)指数收益率*20%,L,混合型,契约型开放式,,20211112,20211115,O
4014,013458.OF,华夏鼎业三个月定开C,华夏基金,兴业银行,债券型,20211112,,,20211025,,0.0026,0.3,0.1,,1.0,0.0001,,中债综合指数收益率,L,债券型,契约型开放式,,20220214,20220214,O
4015,890005.OF,长江尊利A,长江资管,招商银行,债券型,20211112,,,20211112,,,0.6,0.15,,1.0,,,中债新综合全价(总值)指数*85%+沪深300指数收益率*10%+金融机构人民币活期存款利率(税后)*5%,L,债券型,契约型开放式,,20211220,20211220,O
4016,014112.OF,嘉实对冲套利C,嘉实基金,招商银行,混合型,20211112,,,,,,1.0,0.25,,1.0,,,一年期银行定期存款收益率(税后),L,混合型,契约型开放式,,20211112,20211112,O
4017,013079.OF,方正富邦策略轮动C,方正富邦基金,交通银行,混合型,20211112,,,20211018,,0.485,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20220211,20220211,O
4018,013078.OF,方正富邦策略轮动A,方正富邦基金,交通银行,混合型,20211112,,,20211018,,6.0674,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20220211,20220211,O
4019,013703.OF,招商添福1年定开,招商基金,中国邮政储蓄银行,债券型,20211112,,,20211011,,115.0051,0.3,0.1,,1.0,0.0001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,20221114,20221114,O
4020,013971.OF,长江尊利C,长江资管,招商银行,债券型,20211112,,,,,,0.6,0.15,,1.0,,,中债新综合全价(总值)指数*85%+沪深300指数收益率*10%+金融机构人民币活期存款利率(税后)*5%,L,债券型,契约型开放式,,20211220,20211220,O
4021,159726.SZ,恒生红利ETF,华夏基金,中国银行,股票型,20211111,,20211123,20210906,,2.1341,0.5,0.1,,1.0,0.1,,恒生中国内地企业高股息率指数收益率(经估值汇率调整),L,被动指数型,契约型开放式,,20211123,20211123,E
4022,013494.OF,华泰柏瑞锦元,华泰柏瑞基金,浦发银行,债券型,20211111,,,20211104,,10.0015,0.3,0.1,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,20211118,20211118,O
4023,013716.OF,中融恒利纯债A,中融基金,南京银行,债券型,20211111,,,20211027,,2.6102,0.3,0.1,,1.0,0.0001,,中债综合指数(全价)收益率,L,债券型,契约型开放式,,20211206,20211206,O
4024,013717.OF,中融恒利纯债C,中融基金,南京银行,债券型,20211111,,,20211027,,0.0001,0.3,0.1,,1.0,0.0001,,中债综合指数(全价)收益率,L,债券型,契约型开放式,,20211206,20211206,O
4025,014090.OF,中融添益进取3个月持有A,中融基金,中国农业银行,混合型,20211111,,,20211108,,0.1306,1.0,0.15,,1.0,0.0001,,中证800指数收益率*80%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20211125,20220211,O
4026,014091.OF,中融添益进取3个月持有C,中融基金,中国农业银行,混合型,20211111,,,20211108,,0.0143,1.0,0.15,,1.0,0.0001,,中证800指数收益率*80%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20211125,20220211,O
4027,013927.OF,易米国证消费100指数增强C,易米基金,兴业银行,股票型,20211111,,,20211026,,0.0004,1.2,0.05,,1.0,0.0001,,国证消费100指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20211201,20211201,O
4028,013926.OF,易米国证消费100指数增强A,易米基金,兴业银行,股票型,20211111,,,20211026,,0.1019,1.2,0.05,,1.0,0.0001,,国证消费100指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20211201,20211201,O
4029,013787.OF,交银智选星光C,交银施罗德基金,中国光大银行,混合型,20211110,,,20211025,,5.6358,1.0,0.2,,1.0,0.0001,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20221110,20221110,O
4030,013170.OF,建信彭博政策性银行债C,建信基金,中国光大银行,债券型,20211110,,,20211018,,3.0003,0.15,0.05,,1.0,0.001,,彭博政策性银行债券1-5年指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211210,20211210,O
4031,561310.SH,消电ETF,国泰基金,中国光大银行,股票型,20211110,,20211125,20211021,,3.5792,0.5,0.1,,1.0,0.1,,中证消费电子主题指数收益率,L,被动指数型,契约型开放式,,20211125,20211125,E
4032,013832.OF,中欧汇选C,中欧基金,招商银行,混合型,20211110,,,20211101,,3.2976,1.0,0.2,,1.0,0.0001,,中证800指数收益率*80%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,20221110,20221110,O
4033,501213.SH,中欧汇选FOF,中欧基金,招商银行,混合型,20211110,,20211119,20211101,,8.9788,1.0,0.2,,1.0,0.0001,,中证800指数收益率*80%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,20221110,20221110,E
4034,014043.OF,银华心怡C,银华基金,招商银行,混合型,20211110,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*60%+恒生指数收益率*20%+中证全债指数收益率*20%,L,灵活配置型,契约型开放式,,20211110,20211110,O
4035,013169.OF,建信彭博政策性银行债A,建信基金,中国光大银行,债券型,20211110,,,20211018,,22.0006,0.15,0.05,,1.0,0.001,,彭博政策性银行债券1-5年指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211210,20211210,O
4036,014167.OF,永赢华嘉信用债C,永赢基金,上海银行,债券型,20211110,,,,,,0.3,0.05,,1.0,,,中债-信用债总指数(财富)收益率,L,债券型,契约型开放式,,20211110,20211110,O
4037,010640.OF,财通稳进回报6个月持有A,财通基金,中国邮政储蓄银行,混合型,20211110,,,20211011,,2.7488,0.8,0.18,,1.0,0.0001,,中债综合指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率*5%,L,混合型,契约型开放式,,20211206,20220509,O
4038,013691.OF,兴华安恒纯债A,兴华基金,恒丰银行,债券型,20211110,,,20211101,,2.2001,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20211112,20211112,O
4039,013692.OF,兴华安恒纯债C,兴华基金,恒丰银行,债券型,20211110,,,20211101,,0.0012,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20211112,20211112,O
4040,013963.OF,华夏创新视野一年持有C,华夏基金,平安银行,混合型,20211110,,,20211027,,9.0185,1.5,0.25,,1.0,0.0001,,中证500指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20211124,20221110,O
4041,013934.OF,长江红利回报A,长江资管,交通银行,混合型,20211110,,,20211028,,4.4045,1.5,0.2,,1.0,0.001,,中证红利指数收益率*75%+中证全债指数收益率*25%,L,混合型,契约型开放式,,20220208,20220208,O
4042,013962.OF,华夏创新视野一年持有A,华夏基金,平安银行,混合型,20211110,,,20211027,,10.3304,1.5,0.25,,1.0,0.0001,,中证500指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20211124,20221110,O
4043,010641.OF,财通稳进回报6个月持有C,财通基金,中国邮政储蓄银行,混合型,20211110,,,20211011,,1.1973,0.8,0.18,,1.0,0.0001,,中债综合指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率*5%,L,混合型,契约型开放式,,20211206,20220509,O
4044,013935.OF,长江红利回报C,长江资管,交通银行,混合型,20211110,,,20211028,,0.9315,1.5,0.2,,1.0,0.001,,中证红利指数收益率*75%+中证全债指数收益率*25%,L,混合型,契约型开放式,,20220208,20220208,O
4045,013264.OF,金鹰年年邮享一年持有期C,金鹰基金,中国邮政储蓄银行,债券型,20211110,,,20210809,,0.7696,0.8,0.16,,1.0,0.0001,,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20211112,20221110,O
4046,013263.OF,金鹰年年邮享一年持有期A,金鹰基金,中国邮政储蓄银行,债券型,20211110,,,20210809,,6.3667,0.8,0.16,,1.0,0.0001,,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20211112,20221110,O
4047,012177.OF,华泰保兴价值成长C,华泰保兴基金,招商证券,混合型,20211110,,,20210909,,1.4263,1.5,0.15,,1.0,10.0,,沪深300指数收益率*80%+中债总指数(全价)收益率*20%,L,混合型,契约型开放式,,20211210,20211210,O
4048,012132.OF,华泰保兴价值成长A,华泰保兴基金,招商证券,混合型,20211110,,,20210909,,0.9947,1.5,0.15,,1.0,10.0,,沪深300指数收益率*80%+中债总指数(全价)收益率*20%,L,混合型,契约型开放式,,20211210,20211210,O
4049,501210.SH,交银智选星光FOF,交银施罗德基金,中国光大银行,混合型,20211110,,20211119,20211025,,29.0422,1.0,0.2,,1.0,0.0001,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20221110,20221110,E
4050,012925.OF,华夏新时代美元现钞,华夏基金,中国工商银行,混合型,20211109,,,,,,1.8,0.3,,0.1565,,,上证国债指数收益率*40%+富时中国(不含B股)全盘指数收益率*30%+富时中国A股自由流通全盘指数收益率*30%,L,灵活配置型,契约型开放式,,20211109,20211109,O
4051,012880.OF,国泰景气优选A,国泰基金,中国建设银行,混合型,20211109,,,20211025,,4.3252,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*75%+银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20220208,20220208,O
4052,012529.OF,广发鑫睿一年持有C,广发基金,兴业银行,混合型,20211109,,,20211101,,4.5285,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20220110,20221109,O
4053,012881.OF,国泰景气优选C,国泰基金,中国建设银行,混合型,20211109,,,20211025,,0.3521,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*75%+银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20220208,20220208,O
4054,012528.OF,广发鑫睿一年持有A,广发基金,兴业银行,混合型,20211109,,,20211101,,6.9026,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20220110,20221109,O
4055,013512.OF,汇添富添福增长稳健养老目标一年持有A,汇添富基金,兴业银行,混合型,20211109,,,20211025,,8.1102,0.6,0.15,,1.0,0.001,,中债综合指数收益率*75%+中证800指数收益率*25%,L,混合型,契约型开放式,,20211220,20221109,O
4056,012480.OF,汇安信泰稳健一年持有C,汇安基金,中信银行,混合型,20211109,,,20211015,,1.4113,1.0,0.2,,1.0,0.0001,,中债新综合指数(财富)收益率*85%+沪深300指数收益率*12%+恒生指数收益率*3%,L,混合型,契约型开放式,,20220208,20221109,O
4057,013300.OF,工银价值稳健6个月持有(FOF)A,工银瑞信基金,招商银行,混合型,20211109,,,20211025,,16.4845,0.6,0.15,,1.0,0.0001,,中债-新综合财富(总值)指数收益率*90%+中证800指数收益率*10%,L,混合型,契约型开放式,,20211110,20220510,O
4058,012479.OF,汇安信泰稳健一年持有A,汇安基金,中信银行,混合型,20211109,,,20211015,,1.1764,1.0,0.2,,1.0,0.0001,,中债新综合指数(财富)收益率*85%+沪深300指数收益率*12%+恒生指数收益率*3%,L,混合型,契约型开放式,,20220208,20221109,O
4059,012770.OF,光大保德信创新生活,光大保德信基金,中国光大银行,混合型,20211109,,,20211018,,4.1059,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*50%+恒生指数收益率*25%+中债综合财富(总值)指数收益率*25%,L,混合型,契约型开放式,,20220207,20220207,O
4060,012530.OF,永赢惠添盈一年持有,永赢基金,中国工商银行,混合型,20211109,,,20211022,,2.6393,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+中债-综合指数(全价)收益率*30%+恒生指数收益率(按估值汇率折算)*10%,L,混合型,契约型开放式,,20211216,20221109,O
4061,012893.OF,安信优质企业三年持有C,安信基金,招商银行,混合型,20211109,,,20211020,,8.0688,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*45%+恒生指数收益率(经汇率调整后)*35%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20220117,,O
4062,014150.OF,新华鑫益A,新华基金,平安银行,混合型,20211109,,,,,,1.5,0.25,,1.0,,,年化收益率10%,L,灵活配置型,契约型开放式,,20211109,20211110,O
4063,012892.OF,安信优质企业三年持有A,安信基金,招商银行,混合型,20211109,,,20211020,,17.7066,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*45%+恒生指数收益率(经汇率调整后)*35%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20220117,,O
4064,013301.OF,工银价值稳健6个月持有(FOF)C,工银瑞信基金,招商银行,混合型,20211109,,,20211025,,0.3338,0.6,0.15,,1.0,0.0001,,中债-新综合财富(总值)指数收益率*90%+中证800指数收益率*10%,L,混合型,契约型开放式,,20211110,20220510,O
4065,013999.OF,中欧瑾添C,中欧基金,兴业银行,混合型,20211109,,,20211101,,1.4001,0.6,0.1,,1.0,0.0001,,中债综合财富(总值)指数收益率*80%+中证800指数收益率*18%+中证港股通综合指数(人民币)收益率*2%,L,混合型,契约型开放式,,20211112,20211112,O
4066,013756.OF,中银证券内需增长C,中银证券,浙商银行,混合型,20211109,,,20211018,,0.4796,1.5,0.2,,1.0,0.001,,中证800指数收益率*65%+中债综合全价指数收益率*35%,L,混合型,契约型开放式,,20220110,20220110,O
4067,013770.OF,博时稳益9个月持有C,博时基金,广发银行,混合型,20211109,,,20211025,,24.4024,0.6,0.15,,1.0,0.001,,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*10%+中证港股通综合指数(CNY)收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20220209,20220809,O
4068,013769.OF,博时稳益9个月持有A,博时基金,广发银行,混合型,20211109,,,20211025,,21.8978,0.6,0.15,,1.0,0.001,,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*10%+中证港股通综合指数(CNY)收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20220209,20220809,O
4069,013998.OF,中欧瑾添A,中欧基金,兴业银行,混合型,20211109,,,20211101,,0.6889,0.6,0.1,,1.0,0.0001,,中债综合财富(总值)指数收益率*80%+中证800指数收益率*18%+中证港股通综合指数(人民币)收益率*2%,L,混合型,契约型开放式,,20211112,20211112,O
4070,013755.OF,中银证券内需增长A,中银证券,浙商银行,混合型,20211109,,,20211018,,2.6323,1.5,0.2,,1.0,0.001,,中证800指数收益率*65%+中债综合全价指数收益率*35%,L,混合型,契约型开放式,,20220110,20220110,O
4071,014003.OF,浦银安盛增长动力C,浦银安盛基金,交通银行,混合型,20211109,,,,,,1.5,0.25,,1.0,,,中证500指数*55%+中证全债指数*45%,L,灵活配置型,契约型开放式,,20211109,20211109,O
4072,159793.SZ,线上消费ETF平安,平安基金,中国农业银行,股票型,20211109,,20211124,20211011,,2.5976,0.5,0.1,,1.0,0.1,,中证沪港深线上消费主题指数收益率,L,被动指数型,契约型开放式,,20211124,20211124,E
4073,012924.OF,华夏新时代美元现汇,华夏基金,中国工商银行,混合型,20211109,,,,,,1.8,0.3,,0.1565,,,上证国债指数收益率*40%+富时中国(不含B股)全盘指数收益率*30%+富时中国A股自由流通全盘指数收益率*30%,L,灵活配置型,契约型开放式,,20211109,20211109,O
4074,013522.OF,华富吉丰60天滚动持有A,华富基金,交通银行,债券型,20211108,,,20211025,,0.538,0.2,0.05,,1.0,0.001,,中债综合全价(1-3年)指数收益率*80%+一年期定期存款基准利率(税后)*20%,L,债券型,契约型开放式,,20211201,20220107,O
4075,013523.OF,华富吉丰60天滚动持有C,华富基金,交通银行,债券型,20211108,,,20211025,,1.8346,0.2,0.05,,1.0,0.001,,中债综合全价(1-3年)指数收益率*80%+一年期定期存款基准利率(税后)*20%,L,债券型,契约型开放式,,20211201,20220107,O
4076,011675.OF,长城中债1-5年国开债A,长城基金,中国邮政储蓄银行,债券型,20211108,20221202,,20210806,,30.0003,0.15,0.05,,1.0,0.0001,,中债-1-5年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型开放式,,20211123,20211123,O
4077,011676.OF,长城中债1-5年国开债C,长城基金,中国邮政储蓄银行,债券型,20211108,20221202,,20210806,,0.0,0.15,0.05,,1.0,0.0001,,中债-1-5年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型开放式,,20211123,20211123,O
4078,970074.OF,东证融汇成长优选C,东证融汇,中国建设银行,混合型,20211108,,,,,,1.2,0.2,,1.0,,,中证500指数收益率*90%+银行活期存款利率(税后)*10%,L,混合型,契约型开放式,,20211122,20211122,O
4079,013782.OF,浙商汇金卓越配置一年持有B,浙商资管,中国农业银行,混合型,20211108,,,,,,0.6,0.2,,1.0,,,沪深300指数收益率*50%+中债总财富指数(总值)收益率*50%,L,混合型,契约型开放式,,20211109,20211110,O
4080,013781.OF,浙商汇金卓越配置一年持有A,浙商资管,中国农业银行,混合型,20211108,,,20211108,,,0.8,0.2,,1.0,,,沪深300指数收益率*50%+中债总财富指数(总值)收益率*50%,L,混合型,契约型开放式,,,20220207,O
4081,970073.OF,东证融汇成长优选A,东证融汇,中国建设银行,混合型,20211108,,,20211108,,,1.2,0.2,,1.0,,,中证500指数收益率*90%+银行活期存款利率(税后)*10%,L,混合型,契约型开放式,,20211122,20211122,O
4082,012823.OF,富国安利90天滚动持有A,富国基金,浦发银行,债券型,20211105,,,20211018,,0.5203,0.3,0.05,,1.0,0.001,,中债综合财富(1-3年)指数收益率*90%+银行1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20220207,20220207,O
4083,012824.OF,富国安利90天滚动持有C,富国基金,浦发银行,债券型,20211105,,,20211018,,1.6606,0.3,0.05,,1.0,0.001,,中债综合财富(1-3年)指数收益率*90%+银行1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20220207,20220207,O
4084,013950.OF,交银先锋C,交银施罗德基金,中国农业银行,混合型,20211105,,,,,,1.5,0.25,,1.0,,,中证700指数*75%+中证综合债券指数*25%,L,混合型,契约型开放式,,20211105,20211105,O
4085,014046.OF,交银医药创新C,交银施罗德基金,中国工商银行,股票型,20211105,,,,,,1.5,0.25,,1.0,,,中证医药卫生指数收益率*85%+中证综合债券指数收益率*15%,L,股票型,契约型开放式,,20211105,20211105,O
4086,013140.OF,中金金信,中金基金,上海银行,债券型,20211105,,,20211025,,4.4702,0.3,0.1,,1.0,0.001,,中债-综合全价(总值)指数收益率,L,债券型,契约型开放式,,20211111,20211111,O
4087,012486.OF,建信汇益一年持有C,建信基金,中国农业银行,混合型,20211105,,,20211018,,1.0235,0.6,0.15,,1.0,0.001,,中债综合指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20211208,20221107,O
4088,012485.OF,建信汇益一年持有A,建信基金,中国农业银行,混合型,20211105,,,20211018,,15.2482,0.6,0.15,,1.0,0.001,,中债综合指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20211208,20221107,O
4089,014029.OF,浦银安盛红利精选C,浦银安盛基金,中国工商银行,混合型,20211105,,,,,,1.5,0.25,,1.0,,,中证红利指数*75%+中证全债指数*25%,L,混合型,契约型开放式,,20211105,20211105,O
4090,014011.OF,浦银安盛价值成长C,浦银安盛基金,中国工商银行,混合型,20211104,,,,,,1.5,0.25,,1.0,,,沪深300指数*75%+中证全债指数*25%,L,混合型,契约型开放式,,20211104,20211104,O
4091,013519.OF,易方达汇智平衡养老(FOF)A,易方达基金,招商银行,混合型,20211104,,,20211013,,2.427,0.9,0.2,,1.0,0.0001,,沪深300指数收益率*50%+中债新综合指数(财富)收益率*50%,L,混合型,契约型开放式,,20211217,,O
4092,012215.OF,民生加银核心资产C,民生加银基金,中国工商银行,股票型,20211104,,,20210930,,0.2724,1.5,0.25,,1.0,0.001,,沪深300指数收益率*65%+恒生综合指数收益率(经汇率估值调整后)*20%+中债综合指数收益率*15%,L,股票型,契约型开放式,,20220128,20220128,O
4093,159707.SZ,地产ETF,华宝基金,中国银行,股票型,20211104,,20211112,20210922,,2.3955,0.5,0.1,,1.0,0.1,,中证800地产指数收益率,L,被动指数型,契约型开放式,,20211112,20211112,E
4094,012214.OF,民生加银核心资产A,民生加银基金,中国工商银行,股票型,20211104,,,20210930,,1.951,1.5,0.25,,1.0,0.001,,沪深300指数收益率*65%+恒生综合指数收益率(经汇率估值调整后)*20%+中债综合指数收益率*15%,L,股票型,契约型开放式,,20220128,20220128,O
4095,013623.OF,湘财周期轮动一年持有,湘财基金,交通银行,混合型,20211104,,,20211008,,5.2161,1.5,0.25,,1.0,0.0001,,中证800指数收益率*75%+上证国债指数收益率*25%,L,混合型,契约型开放式,,20211115,20221104,O
4096,516730.SH,证券公司ETF,浦银安盛基金,招商银行,股票型,20211104,,20211112,20210930,,3.4338,0.5,0.1,,1.0,0.1,,中证证券公司30指数收益率,L,被动指数型,契约型开放式,,20211112,20211112,E
